"PLZ","Abholdatum"
8001,"2023-01-11"
8001,"2023-01-25"
8001,"2023-02-08"
8001,"2023-02-22"
8001,"2023-03-08"
8001,"2023-03-22"
8001,"2023-04-05"
8001,"2023-04-19"
8001,"2023-05-03"
8001,"2023-05-17"
8001,"2023-05-31"
8001,"2023-06-14"
8001,"2023-06-28"
8001,"2023-07-12"
8001,"2023-07-26"
8001,"2023-08-09"
8001,"2023-08-23"
8001,"2023-09-06"
8001,"2023-09-20"
8001,"2023-10-04"
8001,"2023-10-18"
8001,"2023-11-01"
8001,"2023-11-15"
8001,"2023-11-29"
8001,"2023-12-13"
8001,"2023-12-27"
8002,"2023-01-09"
8002,"2023-01-23"
8002,"2023-02-06"
8002,"2023-02-20"
8002,"2023-03-06"
8002,"2023-03-20"
8002,"2023-04-03"
8002,"2023-04-17"
8002,"2023-05-15"
8002,"2023-06-12"
8002,"2023-06-26"
8002,"2023-07-10"
8002,"2023-07-24"
8002,"2023-08-07"
8002,"2023-08-21"
8002,"2023-09-04"
8002,"2023-09-18"
8002,"2023-10-02"
8002,"2023-10-16"
8002,"2023-10-30"
8002,"2023-11-13"
8002,"2023-11-27"
8002,"2023-12-11"
8003,"2023-01-10"
8003,"2023-01-24"
8003,"2023-02-07"
8003,"2023-02-21"
8003,"2023-03-07"
8003,"2023-03-21"
8003,"2023-04-04"
8003,"2023-04-18"
8003,"2023-05-02"
8003,"2023-05-16"
8003,"2023-05-30"
8003,"2023-06-13"
8003,"2023-06-27"
8003,"2023-07-11"
8003,"2023-07-25"
8003,"2023-08-08"
8003,"2023-08-22"
8003,"2023-09-05"
8003,"2023-09-19"
8003,"2023-10-03"
8003,"2023-10-17"
8003,"2023-10-31"
8003,"2023-11-14"
8003,"2023-11-28"
8003,"2023-12-12"
8004,"2023-01-11"
8004,"2023-01-25"
8004,"2023-02-08"
8004,"2023-02-22"
8004,"2023-03-08"
8004,"2023-03-22"
8004,"2023-04-05"
8004,"2023-04-19"
8004,"2023-05-03"
8004,"2023-05-17"
8004,"2023-05-31"
8004,"2023-06-14"
8004,"2023-06-28"
8004,"2023-07-12"
8004,"2023-07-26"
8004,"2023-08-09"
8004,"2023-08-23"
8004,"2023-09-06"
8004,"2023-09-20"
8004,"2023-10-04"
8004,"2023-10-18"
8004,"2023-11-01"
8004,"2023-11-15"
8004,"2023-11-29"
8004,"2023-12-13"
8004,"2023-12-27"
8005,"2023-01-13"
8005,"2023-01-27"
8005,"2023-02-10"
8005,"2023-02-24"
8005,"2023-03-10"
8005,"2023-03-24"
8005,"2023-04-21"
8005,"2023-05-05"
8005,"2023-05-19"
8005,"2023-06-02"
8005,"2023-06-16"
8005,"2023-06-30"
8005,"2023-07-14"
8005,"2023-07-28"
8005,"2023-08-11"
8005,"2023-08-25"
8005,"2023-09-08"
8005,"2023-09-22"
8005,"2023-10-06"
8005,"2023-10-20"
8005,"2023-11-03"
8005,"2023-11-17"
8005,"2023-12-01"
8005,"2023-12-15"
8005,"2023-12-29"
8006,"2023-01-04"
8006,"2023-01-18"
8006,"2023-02-01"
8006,"2023-02-15"
8006,"2023-03-01"
8006,"2023-03-15"
8006,"2023-03-29"
8006,"2023-04-12"
8006,"2023-04-26"
8006,"2023-05-10"
8006,"2023-05-24"
8006,"2023-06-07"
8006,"2023-06-21"
8006,"2023-07-05"
8006,"2023-07-19"
8006,"2023-08-02"
8006,"2023-08-16"
8006,"2023-08-30"
8006,"2023-09-13"
8006,"2023-09-27"
8006,"2023-10-11"
8006,"2023-10-25"
8006,"2023-11-08"
8006,"2023-11-22"
8006,"2023-12-06"
8006,"2023-12-20"
8008,"2023-01-03"
8008,"2023-01-17"
8008,"2023-01-31"
8008,"2023-02-14"
8008,"2023-02-28"
8008,"2023-03-14"
8008,"2023-03-28"
8008,"2023-04-11"
8008,"2023-04-25"
8008,"2023-05-09"
8008,"2023-05-23"
8008,"2023-06-06"
8008,"2023-06-20"
8008,"2023-07-04"
8008,"2023-07-18"
8008,"2023-08-15"
8008,"2023-08-29"
8008,"2023-09-12"
8008,"2023-09-26"
8008,"2023-10-10"
8008,"2023-10-24"
8008,"2023-11-07"
8008,"2023-11-21"
8008,"2023-12-05"
8008,"2023-12-19"
8032,"2023-01-03"
8032,"2023-01-17"
8032,"2023-01-31"
8032,"2023-02-14"
8032,"2023-02-28"
8032,"2023-03-14"
8032,"2023-03-28"
8032,"2023-04-11"
8032,"2023-04-25"
8032,"2023-05-09"
8032,"2023-05-23"
8032,"2023-06-06"
